"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage"
"Burning Army","[{'key': 'range', 'header': 'RANGE:', 'value': '900'}, {'key': 'count', 'header': 'COUNT:', 'value': '5'}, {'key': 'spawn_interval', 'header': 'SPAWN INTERVAL:', 'value': '0.15'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '600', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/clinkz_burning_army.png","Point Target","","150","Summons a row of Burning Skeleton Archers in the target location.","80","Physical","","","","Existing on the brink of life and death, Clinkz has learned to temporarily bridge the gap between the two.",""
"Burning Barrage","[{'key': 'wave_count', 'header': 'ARROWS FIRED:', 'value': '6'}, {'key': 'range', 'header': 'RANGE:', 'value': '850'}, {'key': 'damage_pct', 'header': 'DAMAGE PER ARROW:', 'value': '75%'}, {'key': 'abilitychanneltime', 'header': 'CHANNEL TIME:', 'value': '2'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/clinkz_burning_barrage.png","Point Target","Enemy","40","CHANNELED - Clinkz channels and shoots multiple piercing arrows in the target direction that hit all enemy units dealing a percentage of Clinkz' attack damage and applying attack modifiers, and dousing enemies with Tar Bomb slow.","17","Physical","['Hero', 'Basic']","","Yes","It's hard to say whether the blur around the Bone Fletcher is from his flaming heart or his speed with the quiver.",""
"Burning Spear","[{'key': 'health_cost', 'header': 'HEALTH COST:', 'value': '3%'}, {'key': 'burn_damage', 'header': 'BURN DAMAGE:', 'value': ['5', '10', '15', '20']}, {'key': 'duration', 'header': 'DURATION:', 'value': '9'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '450'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/huskar_burning_spear.png","['Unit Target', 'Autocast', 'Attack Modifier']","Enemy","0","Huskar sets his spears aflame, dealing damage over time with his regular attack. Multiple attacks will stack additional damage.  Each attack drains some of Huskar's health.","0","Magical","['Hero', 'Basic']","No","No","The Sacred Warrior ignites his weaponry after marking it with his own blood - causing far greater pain than he himself feels.",""
"Burning Spears Pure Damage","","","","","","","","","","","","",""
"Burrow","[{'key': 'health_regen_rate', 'header': 'MAX HP REGEN:', 'value': '1%'}, {'key': 'mana_regen_rate', 'header': 'MAX MANA REGEN:', 'value': '1%'}, {'key': 'damage_reduction', 'header': 'BURROW DAMAGE REDUCTION:', 'value': '40%'}, {'key': 'impale_bonus_cast_range', 'header': 'BURROW IMPALE BONUS RANGE:', 'value': '525'}, {'key': 'jolt_bonus_cast_range', 'header': 'BURROW MIND FLARE BONUS RANGE:', 'value': '400'}, {'key': 'impale_cooldown_reduction', 'header': 'BURROW IMPALE COOLDOWN REDUCTION:', 'value': '7'}, {'key': 'carapace_radius', 'header': 'BURROW SPIKED CARAPACE RANGE:', 'value': '300'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '1.5', 'generated': True}]","/apps/dota2/images/dota_react/abilities/nyx_assassin_burrow.png","['No Target', 'Hidden']","","","Nyx Assassin buries himself beneath the battlefield over a short duration. Once burrowed, Spiked Carapace instantly stuns nearby enemies when cast, the range of Mind Flare and Impale is increased, and Impale's cooldown is decreased. While burrowed, Nyx Assassin is stationary, unable to attack, and invisible. Nyx gains damage reduction from all damage sources.","","","","No","","Some castes of zealot scarab are known to create small burrows to lie in wait, ready to ambush their prey.",""
"Burrowstrike","[{'key': 'burrow_width', 'header': 'BURROW WIDTH:', 'value': '150', 'generated': True}, {'key': 'burrow_duration', 'header': 'STUN DURATION:', 'value': ['1.2', '1.4', '1.6', '1.8']}, {'key': 'burrow_speed', 'header': 'BURROW SPEED:', 'value': '2000', 'generated': True}, {'key': 'burrow_anim_time', 'header': 'BURROW ANIM TIME:', 'value': '0.52', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['525', '600', '675', '750']}, {'key': 'burrow_speed_scepter', 'header': 'BURROW SPEED SCEPTER:', 'value': '3000', 'generated': True}, {'key': 'scepter_channel_time', 'header': 'SCEPTER CHANNEL TIME:', 'value': '2', 'generated': True}, {'key': 'scepter_max_power', 'header': 'SCEPTER MAX POWER:', 'value': '2', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/sandking_burrowstrike.png","['Point Target', 'Unit Target']","Enemy","['110', '120', '130', '140']","Sand King burrows into the ground and tunnels forward, damaging and stunning enemy units above him as he resurfaces. Adds Caustic Finale poison to heroes hit.","['14', '13', '12', '11']","Magical","['Hero', 'Basic']","[]","No","Crixalis often lies in wait, burrowing under the surface to ambush his adversaries.","['80', '140', '200', '260']"
"Bushwhack","[{'key': 'trap_radius', 'header': 'RADIUS:', 'value': '265'}, {'key': 'debuff_duration', 'header': 'STUN DURATION:', 'value': ['1.4', '1.6', '1.8', '2']}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '1300', 'generated': True}, {'key': 'total_damage', 'header': 'TOTAL DAMAGE:', 'value': ['90', '180', '270', '360']}, {'key': 'animation_rate', 'header': 'ANIMATION RATE:', 'value': '0.3', 'generated': True}, {'key': 'visual_height', 'header': 'VISUAL HEIGHT:', 'value': '50', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/hoodwink_bushwhack.png","['Point Target', 'AOE']","","['90', '100', '110', '120']","Tosses a net trap that stuns enemies if they are near a tree in the area. Affected enemies take damage over time and are pulled towards the tree nearest to them within the target area, and have their vision reduced to 0 for the duration of the stun.","14","Magical","Hero","[]","","Hoodwink favors Ironwood groves for ambushes, but the wary step carefully in all areas of the mistwoods.",""
"Call Down","[{'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'slow_duration', 'header': 'SLOW DURATION:', 'value': '4'}, {'key': 'slow', 'header': 'MISSILE SLOW:', 'value': '50%'}, {'key': 'damage', 'header': 'MISSILE DAMAGE:', 'value': ['250', '400', '550']}, {'key': 'radius', 'header': 'RADIUS:', 'value': '400'}, {'key': 'missile_delay_tooltip', 'header': 'MISSILE DELAY TOOLTIP:', 'value': '2', 'generated': True}, {'key': 'strike_delay', 'header': 'STRIKE DELAY:', 'value': '1', 'generated': True}, {'key': 'total_strikes', 'header': 'TOTAL STRIKES:', 'value': '3', 'generated': True}, {'key': 'strike_separation', 'header': 'STRIKE SEPARATION:', 'value': '500', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/gyrocopter_call_down.png","['Point Target', 'AOE']","","['150', '200', '250']","Call down 3 aerial missile strikes that slow and damage enemy units in a target area. Each strike is 500 distance from the previous one and is delayed by 1s","['90', '75', '60']","Magical","","Yes","No","'Bombs Away!'",""
"Call of the Wild Boar","[{'key': 'duration', 'header': 'SUMMON DURATION:', 'value': '60'}, {'key': 'boar_base_max_health', 'header': 'BOAR BASE HEALTH:', 'value': ['300', '450', '600', '750']}, {'key': 'boar_base_damage', 'header': 'BOAR BASE DAMAGE:', 'value': ['20', '35', '50', '65'], 'generated': True}, {'key': 'boar_total_damage_tooltip', 'header': 'BOAR ATTACK DAMAGE:', 'value': ['20', '35', '50', '65']}, {'key': 'boar_bonus_damage', 'header': 'BOAR BONUS DAMAGE:', 'value': '0', 'generated': True}, {'key': 'boar_base_xp_bounty', 'header': 'BOAR BASE XP BOUNTY:', 'value': ['60', '70', '80', '90'], 'generated': True}, {'key': 'boar_base_movespeed', 'header': 'BOAR BASE MOVESPEED:', 'value': ['320', '330', '340', '350'], 'generated': True}, {'key': 'boar_moveslow_tooltip', 'header': 'BOAR SLOW:', 'value': ['10%', '18%', '26%', '34%']}, {'key': 'boar_poison_duration_tooltip', 'header': 'BOAR POISON DURATION:', 'value': '3'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/beastmaster_call_of_the_wild_boar.png","No Target","","60","Beastmaster calls forth a Boar to aid in the battlefield. The Boar has a passive poison attack that slows attack and movement speeds.","30","Physical","","","","After befriending the strange beast of his childhood, Beastmaster has learned to call to animals in times of need.",""
"Call of the Wild Hawk","[{'key': 'duration', 'header': 'SUMMON DURATION:', 'value': '25'}, {'key': 'hawk_base_max_health', 'header': 'HAWK BASE HEALTH:', 'value': ['200', '325', '450', '625']}, {'key': 'hawk_base_gold_bounty', 'header': 'HAWK BASE GOLD BOUNTY:', 'value': ['30', '40', '50', '60'], 'generated': True}, {'key': 'hawk_base_vision_range', 'header': 'HAWK BASE VISION RANGE:', 'value': ['600', '650', '700', '750'], 'generated': True}, {'key': 'hawk_base_xp_bounty', 'header': 'HAWK BASE XP BOUNTY:', 'value': ['40', '50', '60', '70'], 'generated': True}, {'key': 'hawk_base_magic_resist', 'header': 'HAWK BASE MAGIC RESISTANCE:', 'value': ['30', '40', '50', '60']}, {'key': 'attack_radius', 'header': 'ATTACK RADIUS:', 'value': '500', 'generated': True}, {'key': 'hawk_count', 'header': 'HAWK COUNT:', 'value': '1', 'generated': True}, {'key': 'dive_damage', 'header': 'DAMAGE:', 'value': ['60', '90', '120', '150']}, {'key': 'dive_root_duration', 'header': 'ROOT DURATION:', 'value': ['0.25', '0.5', '0.75', '1']}, {'key': 'roaming_radius', 'header': 'ROAMING RADIUS:', 'value': '280', 'generated': True}, {'key': 'roaming_seconds_per_rotation', 'header': 'ROAMING SECONDS PER ROTATION:', 'value': '4', 'generated': True}, {'key': 'hawk_base_attack_interval', 'header': 'HAWK BASE ATTACK INTERVAL:', 'value': '4', 'generated': True}, {'key': 'min_move_speed', 'header': 'MIN MOVE SPEED:', 'value': '455', 'generated': True}, {'key': 'max_move_speed', 'header': 'MAX MOVE SPEED:', 'value': '1100', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '0', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/beastmaster_call_of_the_wild_hawk.png","No Target","Enemy","50","Beastmaster summons a hawk that circles around Beastmaster and dive-bombs at enemies with a base attack rate of every 4s, damaging and rooting them. Attack rate increases with the Hawk's attack speed. Prioritizes heroes. ","['45', '40', '35', '30']","","['Hero', 'Basic']","","","After befriending the strange beast of his childhood, Beastmaster has learned to call to animals in times of need.",""
"Cancel Dark Rift","[]","/apps/dota2/images/dota_react/abilities/abyssal_underlord_cancel_dark_rift.png","['No Target', 'Hidden']","","","Stop the teleport.","","","","","","",""
"Cannot be slowed or rooted during Trample","","","","","","","","","","","","",""
"Cataclysm","","","","","","","","","","","","",""
"Caustic Finale","[{'key': 'caustic_finale_radius', 'header': 'EXPLODE RADIUS:', 'value': '500'}, {'key': 'caustic_finale_damage_base', 'header': 'BASE DAMAGE:', 'value': ['50', '70', '90', '110']}, {'key': 'caustic_finale_damage_pct', 'header': 'MAX HEALTH DAMAGE:', 'value': ['10%', '14%', '18%', '22%']}, {'key': 'caustic_finale_duration', 'header': 'CAUSTIC FINALE DURATION:', 'value': '6', 'generated': True}, {'key': 'caustic_finale_slow', 'header': 'MOVE SLOW:', 'value': ['-14%', '-18%', '-22%', '-26%']}]","/apps/dota2/images/dota_react/abilities/sandking_caustic_finale.png","Passive","","","Sand King's attacks inject a venom that causes enemy units to move more slowly and to violently explode when it dies.","","Magical","","Yes","No","An injection from Crixalis makes one brittle and as dry as the arid wastes, subject to implosive demise.",""
"Celestial Hammer","[{'key': 'hammer_damage', 'header': 'HAMMER DAMAGE:', 'value': ['50', '80', '110', '140']}, {'key': 'projectile_radius', 'header': 'PROJECTILE RADIUS:', 'value': '200', 'generated': True}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '1500', 'generated': True}, {'key': 'flare_debuff_duration', 'header': 'FIRE TRAIL DURATION:', 'value': ['2.5', '3', '3.5', '4']}, {'key': 'flare_radius', 'header': 'FIRE TRAIL RADIUS:', 'value': '200'}, {'key': 'move_slow', 'header': 'FIRE TRAIL MOVEMENT SLOW:', 'value': ['24%', '28%', '32%', '36%']}, {'key': 'burn_damage', 'header': 'FIRE TRAIL BURN DPS:', 'value': ['20', '30', '40', '50']}, {'key': 'burn_interval', 'header': 'BURN INTERVAL:', 'value': '0.5', 'generated': True}, {'key': 'pause_duration', 'header': 'PAUSE DURATION:', 'value': '2', 'generated': True}, {'key': 'hammer_aoe_radius', 'header': 'HAMMER AOE RADIUS:', 'value': '200', 'generated': True}, {'key': 'travel_speed_pct', 'header': 'TRAVEL SPEED PCT:', 'value': '100', 'generated': True}, {'key': 'return_anim_distance_threshold', 'header': 'RETURN ANIM DISTANCE THRESHOLD:', 'value': '300', 'generated': True}, {'key': 'range', 'header': 'CAST RANGE:', 'value': ['700', '900', '1100', '1300']}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/dawnbreaker_celestial_hammer.png","Point Target","","['110', '120', '130', '140']","Dawnbreaker hurls her weapon at a target, damaging enemies struck along the way. The hammer pauses for 2 seconds at the destination before flying back to her, leaving a trail of fire that slows enemies. Dawnbreaker can recall the hammer at any time, pulling her towards it so they meet in the middle.","['18', '16', '14', '12']","Magical","","Yes","No","The Brightmaul is Valora's oldest companion and sole remaining connection to the glow of her creators.",""
"Chain Frost","[{'key': 'damage', 'header': 'DAMAGE EACH BOUNCE:', 'value': ['250', '400', '550']}, {'key': 'bonus_jump_damage', 'header': 'INCREMENTAL DAMAGE:', 'value': ['15', '20', '25']}, {'key': 'jumps', 'header': 'BOUNCES:', 'value': '10'}, {'key': 'jump_range', 'header': 'BOUNCE RANGE:', 'value': '600'}, {'key': 'slow_movement_speed', 'header': 'MOVEMENT SLOW:', 'value': '-65%'}, {'key': 'slow_attack_speed', 'header': 'ATTACK SLOW:', 'value': '-65'}, {'key': 'slow_duration', 'header': 'SLOW DURATION:', 'value': '2.5'}, {'key': 'initial_projectile_speed', 'header': 'INITIAL PROJECTILE SPEED:', 'value': '1050', 'generated': True}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '850', 'generated': True}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '800', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '750', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/lich_chain_frost.png","Unit Target","Enemy","['180', '300', '420']","Releases an orb of frost that bounces between nearby enemy units up to 10 times, slowing and damaging each time it hits. Each bounce increases the damage for the subsequent bounces.","['100', '80', '60']","Magical","['Hero', 'Basic']","Yes","No","Almost universally considered the ultimate in frost magic, Ethreain's orb of frozen death strikes fear into those who dare stand against him.",""
"Chain Frost Unlimited Bounces","","","","","","","","","","","","",""
"Chain Frost on Death","","","","","","","","","","","","",""
"Chain Lightning","[{'key': 'initial_damage', 'header': 'INITIAL DAMAGE:', 'value': ['140', '180', '220', '260']}, {'key': 'jump_range', 'header': 'JUMP RANGE:', 'value': '500'}, {'key': 'jump_delay', 'header': 'JUMP DELAY:', 'value': '0.25', 'generated': True}, {'key': 'damage_percent_loss', 'header': 'JUMP DAMAGE LOSS:', 'value': ['25%', '20%', '15%', '10%']}, {'key': 'max_targets', 'header': 'MAX TARGETS:', 'value': '4'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '900', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/harpy_storm_chain_lightning.png","Unit Target","Enemy","50","The Harpy Stormcrafter releases a high-voltage bolt of electricity at the target enemy, dealing damage. The bolt jumps to other nearby enemies, losing power with each jump.","4","Magical","['Hero', 'Basic']","","","",""
"Chakra Magic","[{'key': 'mana_restore', 'header': 'MANA RESTORE:', 'value': ['75', '150', '225', '300']}, {'key': 'cooldown_reduction', 'header': 'COOLDOWN REDUCTION:', 'value': ['3', '4', '5', '6']}, {'key': 'mana_leak_pct', 'header': 'MANA LEAK PCT:', 'value': ['4.5', '5', '5.5', '6'], 'generated': True}, {'key': 'duration', 'header': 'DURATION:', 'value': '5', 'generated': True}, {'key': 'self_bonus', 'header': 'SELF BONUS:', 'value': '25', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '900', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/keeper_of_the_light_chakra_magic.png","Unit Target","Friendly","0","Restores mana to the target unit and reduces cooldowns of all basic abilities currently on cooldown by a fixed amount. Is 25% more effective when used on himself.","['18', '16', '14', '12']","","['Hero', 'Basic']","","Yes","In the same vein, Ezalor bestows his harmony among others.",""
"Chakra Magic Strong Dispels","","","","","","","","","","","","",""
"Chakram","[{'key': 'speed', 'header': 'SPEED:', 'value': '900', 'generated': True}, {'key': 'radius', 'header': 'RADIUS:', 'value': '200'}, {'key': 'pass_damage', 'header': 'PASS DAMAGE:', 'value': ['110', '155', '200']}, {'key': 'damage_per_second', 'header': 'DAMAGE PER SECOND:', 'value': ['50', '75', '100']}, {'key': 'slow', 'header': 'SLOW:', 'value': '5%'}, {'key': 'damage_interval', 'header': 'DAMAGE INTERVAL:', 'value': '0.5', 'generated': True}, {'key': 'break_distance', 'header': 'BREAK DISTANCE:', 'value': '2000', 'generated': True}, {'key': 'mana_per_second', 'header': 'MANA COST PER SECOND:', 'value': ['14', '22', '30']}, {'key': 'pass_slow_duration', 'header': 'PASS SLOW DURATION:', 'value': '0.5', 'generated': True}, {'key': 'slow_health_percentage', 'header': 'SLOW HEALTH PERCENTAGE:', 'value': '5', 'generated': True}, {'key': 'castpoint_scepter', 'header': 'CASTPOINT SCEPTER:', 'value': '0.1', 'generated': True}, {'key': 'second_chakram', 'header': 'SECOND CHAKRAM:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1200', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.15', 'generated': True}]","/apps/dota2/images/dota_react/abilities/shredder_chakram.png","['Point Target', 'AOE']","","['75', '125', '175']","Fires Timbersaw's main saw blade at the target location where it will spin in place, dealing damage in an area around it. Enemies caught in the saw blade will move more slowly for every 5% of health missing. The blade deals damage and cuts down trees in its path when fired and retracted.  While active the ability costs mana, and Timbersaw loses the ability to attack.","8","Pure","","No","No","The ultimate in anti-flora weaponry.",""
"Chaos Bolt","[{'key': 'chaos_bolt_speed', 'header': 'CHAOS BOLT SPEED:', 'value': '700', 'generated': True}, {'key': 'stun_min', 'header': 'MINIMUM STUN:', 'value': ['1.25', '1.5', '1.75', '2']}, {'key': 'stun_max', 'header': 'MAXIMUM STUN:', 'value': ['1.75', '2.25', '2.75', '3.25']}, {'key': 'damage_min', 'header': 'MINIMUM DAMAGE:', 'value': ['90', '120', '150', '180']}, {'key': 'damage_max', 'header': 'MAXIMUM DAMAGE:', 'value': ['150', '210', '270', '330']}, {'key': 'fake_bolt_distance', 'header': 'FAKE BOLT DISTANCE:', 'value': '675', 'generated': True}, {'key': 'shard_bonus_cast_range', 'header': 'BONUS CAST RANGE:', 'value': '150'}, {'key': 'shard_illusion_duration', 'header': 'ILLUSION DURATION:', 'value': '6'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '500', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.4', 'generated': True}]","/apps/dota2/images/dota_react/abilities/chaos_knight_chaos_bolt.png","Unit Target","Enemy","110","Throws a mysterious bolt of energy at the target unit. It stuns for a random duration and deals random damage.","['13', '12', '11', '10']","Magical","['Hero', 'Basic']","[]","No","Even Chaos Knight cannot predict this manifest of unholy energy.",""
"Chaos Meteor","[{'key': 'land_time', 'header': 'IMPACT DELAY:', 'value': '1.3'}, {'key': 'area_of_effect', 'header': 'RADIUS:', 'value': '275'}, {'key': 'travel_distance', 'header': 'TRAVEL DISTANCE (WEX):\\n', 'value': ['465', '615', '780', '930', '1095', '1245', '1410', '1575']}, {'key': 'travel_speed', 'header': 'TRAVEL SPEED:', 'value': '300', 'generated': True}, {'key': 'damage_interval', 'header': 'CONTACT DAMAGE TICK:', 'value': '0.5'}, {'key': 'vision_distance', 'header': 'VISION DISTANCE:', 'value': '500', 'generated': True}, {'key': 'end_vision_duration', 'header': 'END VISION DURATION:', 'value': '3', 'generated': True}, {'key': 'main_damage', 'header': 'CONTACT DAMAGE (EXORT):\\n', 'value': ['55', '80', '105', '130', '155', '180', '205', '220']}, {'key': 'burn_duration', 'header': 'BURN DURATION:', 'value': '3'}, {'key': 'burn_dps', 'header': 'BURN DAMAGE PER SECOND (EXORT):\\n', 'value': ['10', '15', '20', '25', '30', '35', '40', '45']}, {'key': 'meteor_count', 'header': 'METEOR COUNT:', 'value': '1', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '700', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/invoker_chaos_meteor.png","['Point Target', 'Hidden']","","200","Invoker pulls a flaming meteor from space onto the targeted location. Upon landing, the meteor rolls forward, constantly dealing damage based on the level of Exort , and rolling further based on the level of Wex . Units hit by the meteor will also be set on fire for a short time, receiving additional damage based on the level of Exort .","55","Magical","","Yes","No","Tarak's Descent of Fire.",""
"Chaos Meteor (AD)","[{'key': 'land_time', 'header': 'IMPACT DELAY:', 'value': '1.3'}, {'key': 'area_of_effect', 'header': 'RADIUS:', 'value': '275'}, {'key': 'travel_distance', 'header': 'TRAVEL DISTANCE:\\n', 'value': ['615', '880', '1145', '1410']}, {'key': 'travel_speed', 'header': 'TRAVEL SPEED:', 'value': '300', 'generated': True}, {'key': 'damage_interval', 'header': 'CONTACT DAMAGE TICK:', 'value': '0.5'}, {'key': 'vision_distance', 'header': 'VISION DISTANCE:', 'value': '500', 'generated': True}, {'key': 'end_vision_duration', 'header': 'END VISION DURATION:', 'value': '3', 'generated': True}, {'key': 'main_damage', 'header': 'CONTACT DAMAGE:\\n', 'value': ['71', '103', '134', '166']}, {'key': 'burn_duration', 'header': 'BURN DURATION:', 'value': '3'}, {'key': 'burn_dps', 'header': 'BURN DAMAGE PER SECOND:\\n', 'value': ['14', '20', '26.5', '32.5']}, {'key': 'meteor_count', 'header': 'METEOR COUNT:', 'value': '1', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '700', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/invoker_chaos_meteor_ad.png","Point Target","","200","Invoker pulls a flaming meteor from space onto the targeted location. Upon landing, the meteor rolls forward, constantly dealing damage and rolling further based on the level. Units hit by the meteor will also be set on fire for a short time.","55","Magical","","Yes","No","Tarak's Descent of Fire.",""
"Chaos Strike","[{'key': 'chance', 'header': 'CHANCE:', 'value': '33.33%'}, {'key': 'crit_min', 'header': 'CRITICAL MIN:', 'value': '125%'}, {'key': 'crit_max', 'header': 'CRITICAL MAX:', 'value': ['140%', '175%', '210%', '245%']}, {'key': 'lifesteal', 'header': 'CRITICAL LIFESTEAL:', 'value': ['24%', '36%', '48%', '60%']}, {'key': 'creep_multiplier', 'header': 'CREEP MULTIPLIER:', 'value': '1.9', 'generated': True}, {'key': 'creep_lifesteal_reduction_pct', 'header': 'CREEP LIFESTEAL REDUCTION PCT:', 'value': '70', 'generated': True}]","/apps/dota2/images/dota_react/abilities/chaos_knight_chaos_strike.png","Passive","","","Chaos Knight and his illusions' attacks have a chance to deal a critical strike of varying strength with bonus lifesteal. Deals 1.9x damage to creeps, but lifesteal from creeps is reduced by 70%.","","","","","Yes","Chaos Knight's unwieldy power bludgeons those who stand before him, crushing the thickest of armors.",""
"Chaotic Offering","[{'key': 'golem_duration', 'header': 'GOLEM DURATION:', 'value': '60', 'generated': True}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': '0.8', 'generated': True}, {'key': 'aoe', 'header': 'SUMMON BLAST RADIUS:', 'value': '600'}, {'key': 'golem_hp', 'header': 'GOLEM HEALTH:', 'value': ['1400', '2300', '3200']}, {'key': 'golem_dmg', 'header': 'GOLEM DAMAGE:', 'value': ['110', '170', '230']}, {'key': 'golem_armor', 'header': 'GOLEM ARMOR:', 'value': ['8', '12', '14'], 'generated': True}, {'key': 'golem_movement_speed', 'header': 'GOLEM MOVEMENT SPEED:', 'value': ['320', '340', '360']}, {'key': 'golem_health_regen', 'header': 'GOLEM HEALTH REGEN:', 'value': ['25', '50', '75']}, {'key': 'golem_gold_bounty', 'header': 'GOLEM GOLD BOUNTY:', 'value': ['100', '150', '200'], 'generated': True}, {'key': 'stun_delay', 'header': 'STUN DELAY:', 'value': '0.5', 'generated': True}, {'key': 'number_of_golems_scepter', 'header': 'NUMBER OF GOLEMS SCEPTER:', 'value': '2', 'generated': True}, {'key': 'golem_hp_scepter', 'header': 'GOLEM HEALTH:', 'value': ['900', '1700', '2600']}, {'key': 'golem_dmg_scepter', 'header': 'GOLEM DAMAGE:', 'value': ['80', '125', '170']}, {'key': 'golem_gold_bounty_scepter', 'header': 'GOLEM GOLD BOUNTY:', 'value': ['50', '75', '100']}, {'key': 'bonus_magic_resistance', 'header': 'BONUS MAGIC RESISTANCE:', 'value': '0', 'generated': True}, {'key': 'bonus_armor', 'header': 'BONUS ARMOR:', 'value': '0', 'generated': True}, {'key': 'tooltip_golem_armor', 'header': 'GOLEM ARMOR:', 'value': ['8', '12', '14']}, {'key': 'bonus_slow_resistance', 'header': 'GOLEM SLOW RESISTANCE:', 'value': '60%'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.5', 'generated': True}]","/apps/dota2/images/dota_react/abilities/warlock_rain_of_chaos.png","['Point Target', 'AOE']","","['200', '400', '600']","Summons a Golem from the depths, stunning enemies for 0.8 seconds. The Golem lives 60 seconds, takes reduced damage from spells, has increased Slow Resistance, has Permanent Immolation and Flaming Fists on attack.","160","","","[]","Yes","Demnok unleashes the captive spirit in his Dreadwood staff, causing destruction in enemy ranks.",""
